variable_2141,variable_1224,variable_1587,variable_2161,variable_1582,variable_93,variable_2013,variable_455,variable_3
15.645339155643699,12.681665974091915,22.7656928454274,12.687909273572641,22.91324508428649,20.3438598994479,13.3674491788324,14.4241142012903,19.2783959113751
16.0756542290381,12.812410633628499,22.3946787970784,13.428704007021501,22.4630570864284,19.9484743194004,13.6160580338453,13.5752000942576,19.5411267761815
16.2669618624839,12.0531072333947,22.484802031365,12.6186762569011,22.642023100583,19.9807648021737,13.9578786888754,14.2742052635659,19.2817508576192
15.4052301808094,12.499504534370502,22.3980089682854,12.626751713355258,23.31643296380929,20.40999392845811,12.831952443980901,14.182656617297098,19.181907750295
15.2134368331439,12.019643409240901,22.6198410297995,11.9937661395213,23.4982074257512,20.2569199310503,12.6636116618342,15.8458156728531,19.6828796049421
15.7385343157028,11.694140138766599,22.5780349351177,12.815668251905999,23.2133845918991,20.159582213291603,12.800798716159301,14.9652201047167,19.19803721262869
15.651652966997302,12.707842183184008,22.865134353359103,13.172492996556,23.0035081771,20.1136406346285,13.8440439203649,14.624857237470698,19.621246171149306
15.887282603052,12.742080377073226,22.386121889505,12.819483450756,21.8493941940658,20.325905869919,12.454569477979698,14.712257091849,19.2001128114734
15.306739335848,12.588889934423312,22.987765216805897,12.61769046988685,23.4393859048912,20.0319640657608,13.559259196241698,14.467281384142801,19.4589007762095
14.337736664244499,12.689116531960678,21.7144464255258,11.9311165945539,22.571085458347998,19.765045199225604,12.310501188067699,15.0097244421223,18.8599404458695
15.6999193165005,12.545124442776595,21.835776507568497,12.1935227779404,22.32794655433949,20.406362268157498,13.2844066011584,14.512086124607196,19.196570432706498
15.5736381699088,12.614895213891913,22.041915753773303,12.75857437617292,23.174481974373304,20.2201944714929,13.1483709364377,14.672082261429699,19.3851800594293
14.700078406833198,12.3512171969433,21.7784382076176,12.776911778070199,22.3425590078819,20.0481394451228,12.1425559529822,15.329642173293399,19.4983992202771
17.005103913256498,13.751288179041099,23.0170687140044,13.211645488016,22.7061969385505,20.569088080737,13.523261545224099,13.229345445846805,19.48388274935
15.601216538805499,14.026149385209699,23.109495728917107,13.5126827563692,23.4911122044839,20.044138669817396,13.023575280871,15.610417818852598,19.201549803519498
15.4493581067235,12.721072534482103,22.8660864269994,13.0681333619484,23.376536987750306,20.151552143926498,14.3361510818717,14.755215794513301,19.499999494001802
14.856574823146401,12.0985123110474,22.7212840729342,12.8594975529475,23.320043166932503,19.777866792184998,12.97029376704721,15.948537230776902,19.46084935347589
15.670864576122401,12.409006948367553,22.3089003783953,12.4205930931608,22.6289657995322,20.098003397726604,13.5349931922181,13.944055968480301,19.94943344633889
16.1301650156039,11.938699144588,21.335228280854498,12.446434510999902,21.805622643411397,20.0376055388375,14.1428855043346,15.8551639291241,20.7286474333658
15.8376234704046,12.527419430181514,22.93554543440889,12.694953412356188,24.0648381457153,20.2062016373869,13.448561089108699,14.7755623100715,19.0870003196072
15.439935055471098,12.784864490891566,22.523616720481897,12.779160416910925,22.718793686627002,20.14254149666406,12.616091093919001,14.0425682475046,19.217236039451002
15.5749108938405,12.6856380072136,22.6662540538482,12.9321396076319,22.8711280159266,20.1125905580017,13.9138448098868,14.7790617593344,19.3899989742217
15.3174215466931,13.0261387508304,21.8156166280375,12.86363251793816,22.4102807617251,19.9575881071803,12.929193203292,14.389238126763502,19.227716678593602
15.488324567801001,12.976164860799901,22.2272337076467,12.0157488384019,23.1747292180792,20.323596070515002,13.563981073538,14.9174853263727,19.366149697359198
